consultation_id,user_id,astrologer_id,date,topic,mode,duration_min,amount,call_status,rating_given,is_free_trial
C000001,U0001,A012,2026-01-01 00:00:00.000000,Relationship,audio,3,0.0,dropped,,True
C000002,U0002,A021,2025-10-25 00:00:00.000000,Family,audio,11,0.0,completed,3.0,True
C000003,U0002,A009,2026-02-05 22:29:31.704599,Career,chat,4,102.0,completed,4.0,False
C000004,U0002,A027,2026-06-08 05:54:47.735040,Career,audio,14,262.0,completed,4.0,False
C000005,U0003,A009,2026-02-15 00:00:00.000000,General Vedic,audio,15,0.0,completed,4.0,True
C000006,U0003,A023,2026-04-03 18:47:45.949931,General Vedic,chat,6,110.0,completed,3.0,False
C000007,U0003,A023,2026-04-08 21:01:32.913081,General Vedic,audio,11,206.0,completed,4.0,False
C000008,U0003,A017,2026-05-08 10:52:59.008558,Family,chat,7,163.0,completed,4.0,False
C000009,U0003,A023,2026-07-26 02:56:06.938955,Career,audio,3,58.0,completed,5.0,False
C000010,U0004,A029,2025-08-14 00:00:00.000000,Relationship,audio,12,0.0,completed,5.0,True
C000011,U0004,A023,2025-09-16 19:37:30.018799,Health,chat,6,110.0,completed,5.0,False
C000012,U0004,A023,2025-10-09 13:29:13.644179,Relationship,chat,3,56.0,completed,4.0,False
C000013,U0004,A023,2025-12-01 07:22:53.895662,Relationship,audio,13,248.0,completed,3.0,False
C000014,U0004,A029,2026-02-15 07:20:03.268753,Relationship,chat,8,78.0,completed,4.0,False
C000015,U0004,A023,2026-02-25 09:13:38.519145,Career,audio,11,218.0,completed,4.0,False
C000016,U0004,A023,2026-03-12 15:50:48.311088,Finance,audio,20,403.0,completed,5.0,False
C000017,U0004,A023,2026-05-07 23:12:45.754066,Family,chat,10,205.0,completed,5.0,False
C000018,U0004,A017,2026-06-22 12:34:56.821176,General Vedic,video,7,179.0,completed,4.0,False
C000019,U0004,A023,2026-07-17 14:02:28.975419,Relationship,chat,7,149.0,completed,4.0,False
C000020,U0005,A030,2026-01-16 00:00:00.000000,Relationship,audio,8,0.0,completed,3.0,True
C000021,U0006,A003,2025-08-15 00:00:00.000000,Family,video,15,0.0,completed,3.0,True
C000022,U0006,A028,2025-09-07 12:39:38.018509,Family,audio,15,230.0,completed,4.0,False
C000023,U0006,A008,2025-10-03 12:46:26.707374,Family,chat,7,109.0,completed,4.0,False
C000024,U0006,A028,2025-12-02 17:40:03.233314,Family,chat,8,127.0,completed,4.0,False
C000025,U0006,A011,2026-01-29 12:09:38.642779,Family,chat,13,351.0,completed,3.0,False
C000026,U0006,A028,2026-03-28 00:09:57.744818,Health,chat,18,297.0,completed,2.0,False
C000027,U0006,A028,2026-07-04 09:30:50.953999,Family,audio,13,218.0,failed,,False
C000028,U0007,A008,2025-11-05 00:00:00.000000,Family,chat,13,0.0,completed,4.0,True
C000029,U0007,A016,2025-12-16 00:43:56.851532,Finance,audio,3,76.0,completed,4.0,False
C000030,U0007,A016,2026-01-21 17:11:56.146436,Finance,chat,3,78.0,dropped,,False
C000031,U0007,A025,2026-03-20 05:03:39.296419,Finance,chat,17,450.0,completed,3.0,False
C000032,U0007,A016,2026-05-01 17:05:38.386526,Marriage,video,16,432.0,completed,4.0,False
C000033,U0007,A016,2026-05-12 00:21:07.309072,Finance,chat,5,138.0,completed,5.0,False
C000034,U0007,A023,2026-08-12 19:28:10.041419,Finance,audio,9,181.0,completed,5.0,False
C000035,U0008,A029,2026-01-24 00:00:00.000000,Marriage,video,3,0.0,completed,3.0,True
C000036,U0009,A024,2025-11-10 00:00:00.000000,Finance,audio,12,0.0,completed,4.0,True
C000037,U0010,A004,2026-04-28 00:00:00.000000,Finance,chat,9,0.0,completed,5.0,True
C000038,U0010,A019,2026-05-16 12:05:36.838748,General Vedic,chat,11,247.0,completed,3.0,False
C000039,U0010,A019,2026-06-07 20:10:11.269103,Finance,audio,3,69.0,completed,4.0,False
C000040,U0010,A019,2026-07-03 10:45:01.794617,Finance,chat,12,280.0,completed,3.0,False
C000041,U0010,A019,2026-08-09 21:23:09.907542,Family,chat,3,71.0,completed,3.0,False
C000042,U0011,A006,2026-04-30 00:00:00.000000,Career,audio,10,0.0,completed,4.0,True
C000043,U0012,A023,2025-07-30 00:00:00.000000,Finance,video,7,0.0,completed,3.0,True
C000044,U0012,A013,2025-08-10 16:24:42.039474,Marriage,video,13,119.0,completed,2.0,False
C000045,U0012,A016,2025-09-12 05:11:35.413097,Finance,chat,4,104.0,completed,4.0,False
C000046,U0012,A013,2025-11-05 14:30:07.172722,Finance,chat,6,57.0,completed,4.0,False
C000047,U0012,A013,2025-12-16 07:06:50.315767,Finance,chat,12,117.0,completed,3.0,False
C000048,U0012,A013,2026-03-14 04:37:40.453806,Relationship,chat,9,89.0,completed,3.0,False
C000049,U0012,A013,2026-03-22 16:00:35.041263,Finance,chat,8,81.0,completed,4.0,False
C000050,U0012,A013,2026-04-01 22:30:47.082145,Finance,chat,3,31.0,dropped,,False
C000051,U0012,A013,2026-04-16 06:03:05.375460,Finance,chat,3,31.0,completed,4.0,False
C000052,U0012,A013,2026-05-18 20:59:02.376633,Finance,audio,14,149.0,completed,1.0,False
C000053,U0012,A001,2026-06-20 20:07:47.504636,Finance,audio,8,240.0,completed,3.0,False
C000054,U0013,A018,2025-09-23 00:00:00.000000,Marriage,chat,11,0.0,completed,3.0,True
C000055,U0013,A008,2025-12-17 20:45:59.028923,Marriage,video,5,76.0,completed,5.0,False
C000056,U0013,A022,2026-02-01 07:30:56.481415,Career,chat,5,130.0,completed,3.0,False
C000057,U0013,A008,2026-05-05 06:56:39.080953,Marriage,chat,6,95.0,completed,5.0,False
C000058,U0014,A028,2026-03-25 00:00:00.000000,Career,chat,15,0.0,completed,4.0,True
C000059,U0015,A025,2026-03-06 00:00:00.000000,Finance,chat,7,0.0,completed,2.0,True
C000060,U0015,A030,2026-05-02 06:57:45.512909,Finance,audio,12,220.0,completed,3.0,False
C000061,U0016,A003,2026-05-12 00:00:00.000000,General Vedic,audio,16,0.0,completed,4.0,True
