user_id,name,signup_date,engagement_type,converted_to_paid,preferred_topic
U0001,User1000,2025-12-29,one_time,False,Relationship
U0002,User1001,2025-10-23,occasional,True,Career
U0003,User1002,2026-02-12,loyal,True,General Vedic
U0004,User1003,2025-08-12,occasional,True,Relationship
U0005,User1004,2026-01-16,one_time,True,Relationship
U0006,User1005,2025-08-14,occasional,False,Family
U0007,User1006,2025-11-03,occasional,True,Finance
U0008,User1007,2026-01-21,one_time,True,Marriage
U0009,User1008,2025-11-04,one_time,False,Career
U0010,User1009,2026-04-28,loyal,True,Finance
U0011,User1010,2026-04-26,one_time,False,Career
U0012,User1011,2025-07-26,occasional,False,Finance
U0013,User1012,2025-09-15,occasional,True,Marriage
U0014,User1013,2026-03-18,one_time,False,Career
U0015,User1014,2026-03-01,occasional,True,Finance
U0016,User1015,2026-05-11,occasional,True,General Vedic
U0017,User1016,2026-03-28,one_time,False,Health
U0018,User1017,2026-06-04,loyal,False,Relationship
U0019,User1018,2025-08-13,occasional,True,Career
U0020,User1019,2026-03-21,occasional,False,Family
U0021,User1020,2026-04-02,loyal,True,Family
U0022,User1021,2025-08-17,occasional,True,Family
U0023,User1022,2026-06-15,one_time,True,Health
U0024,User1023,2025-08-02,one_time,False,Health
U0025,User1024,2026-03-13,one_time,False,Marriage
U0026,User1025,2026-03-03,one_time,True,Career
U0027,User1026,2025-07-22,occasional,True,Finance
U0028,User1027,2026-05-06,one_time,False,Family
U0029,User1028,2026-01-20,one_time,False,Relationship
U0030,User1029,2026-05-05,occasional,False,Relationship
U0031,User1030,2025-12-29,loyal,True,Career
U0032,User1031,2026-06-08,one_time,False,Finance
U0033,User1032,2025-10-08,loyal,True,Career
U0034,User1033,2025-09-16,one_time,False,Relationship
U0035,User1034,2025-09-29,occasional,True,Marriage
U0036,User1035,2025-11-22,occasional,True,Relationship
U0037,User1036,2025-07-13,one_time,True,Career
U0038,User1037,2025-10-06,occasional,False,Relationship
U0039,User1038,2025-08-09,one_time,True,Career
U0040,User1039,2025-08-07,one_time,True,Career
U0041,User1040,2026-01-22,one_time,False,Relationship
U0042,User1041,2025-11-28,occasional,False,Career
U0043,User1042,2025-08-18,one_time,False,Relationship
U0044,User1043,2026-03-28,one_time,False,Career
U0045,User1044,2025-10-25,loyal,True,General Vedic
U0046,User1045,2026-05-14,loyal,True,Family
U0047,User1046,2025-09-09,one_time,False,Marriage
U0048,User1047,2025-12-16,one_time,True,Career
U0049,User1048,2026-04-21,occasional,True,Relationship
U0050,User1049,2026-01-26,one_time,False,Relationship
U0051,User1050,2025-10-31,loyal,True,Marriage
U0052,User1051,2025-08-09,loyal,True,Marriage
U0053,User1052,2026-05-23,occasional,True,Family
U0054,User1053,2026-03-11,loyal,True,Career
U0055,User1054,2025-12-01,occasional,True,General Vedic
U0056,User1055,2026-05-19,loyal,True,Health
U0057,User1056,2026-05-17,loyal,True,Finance
U0058,User1057,2026-03-22,one_time,False,Marriage
U0059,User1058,2025-10-12,occasional,True,Finance
U0060,User1059,2025-09-30,loyal,True,Career
U0061,User1060,2025-10-12,occasional,True,Relationship
U0062,User1061,2026-01-25,loyal,True,Relationship
U0063,User1062,2026-03-02,one_time,False,Marriage
U0064,User1063,2026-04-24,one_time,False,General Vedic
U0065,User1064,2025-11-20,loyal,False,Family
U0066,User1065,2026-01-05,loyal,True,Finance
U0067,User1066,2026-01-05,one_time,True,Marriage
U0068,User1067,2025-11-28,loyal,True,Marriage
U0069,User1068,2025-12-23,one_time,True,General Vedic
U0070,User1069,2025-08-08,loyal,True,Career
U0071,User1070,2026-06-08,loyal,True,General Vedic
U0072,User1071,2025-11-02,one_time,True,Family
U0073,User1072,2026-06-12,one_time,True,Career
U0074,User1073,2025-08-11,one_time,False,Relationship
U0075,User1074,2026-03-25,loyal,True,Family
U0076,User1075,2026-05-28,occasional,True,Career
U0077,User1076,2025-10-22,one_time,False,Health
U0078,User1077,2025-12-27,one_time,True,Relationship
U0079,User1078,2025-12-21,occasional,True,Finance
U0080,User1079,2025-07-18,one_time,False,Career
U0081,User1080,2025-09-28,one_time,False,Health
U0082,User1081,2026-04-15,occasional,True,General Vedic
U0083,User1082,2026-01-25,one_time,False,General Vedic
U0084,User1083,2025-12-02,one_time,False,Marriage
U0085,User1084,2025-07-21,one_time,True,Marriage
U0086,User1085,2026-05-02,occasional,True,Relationship
U0087,User1086,2025-07-29,one_time,True,Relationship
U0088,User1087,2025-11-28,occasional,True,Finance
U0089,User1088,2025-12-13,occasional,True,Health
U0090,User1089,2025-11-08,occasional,True,Relationship
U0091,User1090,2025-09-15,occasional,False,Marriage
U0092,User1091,2025-10-09,occasional,True,Health
U0093,User1092,2026-06-02,occasional,False,Career
U0094,User1093,2026-05-08,one_time,True,Relationship
U0095,User1094,2025-08-14,occasional,False,Relationship
U0096,User1095,2026-06-12,one_time,True,Relationship
U0097,User1096,2026-05-21,loyal,True,Family
U0098,User1097,2025-07-13,occasional,True,Career
U0099,User1098,2025-10-02,one_time,True,Health
U0100,User1099,2025-12-20,loyal,True,General Vedic
U0101,User1100,2025-12-28,one_time,True,Family
U0102,User1101,2026-01-15,occasional,True,Career
U0103,User1102,2025-08-01,loyal,True,Marriage
U0104,User1103,2026-06-01,occasional,True,Relationship
U0105,User1104,2025-08-30,loyal,True,Family
U0106,User1105,2025-11-12,one_time,False,Relationship
U0107,User1106,2026-02-24,loyal,True,Marriage
U0108,User1107,2026-01-03,loyal,True,Relationship
U0109,User1108,2025-09-01,occasional,True,General Vedic
U0110,User1109,2025-12-18,occasional,True,Career
U0111,User1110,2025-11-22,one_time,True,Finance
U0112,User1111,2025-08-05,one_time,False,Finance
U0113,User1112,2025-09-17,loyal,True,General Vedic
U0114,User1113,2025-11-18,occasional,False,Health
U0115,User1114,2025-12-26,one_time,False,Finance
U0116,User1115,2025-10-10,loyal,True,Family
U0117,User1116,2025-11-12,occasional,True,Family
U0118,User1117,2026-02-19,occasional,True,General Vedic
U0119,User1118,2026-05-22,one_time,False,Health
U0120,User1119,2025-09-20,loyal,True,Relationship
U0121,User1120,2026-02-11,one_time,False,Family
U0122,User1121,2026-05-10,loyal,True,Career
U0123,User1122,2026-05-13,one_time,True,Marriage
U0124,User1123,2025-11-17,occasional,True,General Vedic
U0125,User1124,2026-03-22,occasional,True,Health
U0126,User1125,2026-03-28,one_time,False,Relationship
U0127,User1126,2025-08-26,loyal,True,Family
U0128,User1127,2026-04-14,loyal,True,Relationship
U0129,User1128,2026-05-07,one_time,False,General Vedic
U0130,User1129,2025-12-03,occasional,True,Career
U0131,User1130,2025-12-10,one_time,False,Relationship
U0132,User1131,2026-06-10,occasional,False,Finance
U0133,User1132,2026-02-19,one_time,True,General Vedic
U0134,User1133,2025-08-16,occasional,True,Finance
U0135,User1134,2025-08-30,one_time,True,Health
U0136,User1135,2026-03-26,one_time,False,Health
U0137,User1136,2025-08-28,occasional,True,Health
U0138,User1137,2026-01-06,loyal,True,Finance
U0139,User1138,2026-01-22,one_time,False,Marriage
U0140,User1139,2025-11-07,one_time,True,Career
U0141,User1140,2025-12-04,one_time,False,Relationship
U0142,User1141,2026-05-25,one_time,False,Career
U0143,User1142,2026-01-15,occasional,True,Relationship
U0144,User1143,2026-04-07,one_time,False,Career
U0145,User1144,2026-03-15,occasional,True,Health
U0146,User1145,2026-01-01,loyal,True,Relationship
U0147,User1146,2025-08-27,occasional,True,General Vedic
U0148,User1147,2025-10-27,one_time,False,Career
U0149,User1148,2026-02-28,one_time,True,Career
U0150,User1149,2026-05-01,one_time,False,Relationship
U0151,User1150,2026-03-30,occasional,True,Health
U0152,User1151,2025-11-28,occasional,False,Health
U0153,User1152,2026-03-24,one_time,False,General Vedic
U0154,User1153,2025-08-08,one_time,True,Health
U0155,User1154,2026-03-08,occasional,True,Career
U0156,User1155,2026-04-04,one_time,True,Career
U0157,User1156,2025-09-02,occasional,True,General Vedic
U0158,User1157,2025-10-19,occasional,True,Family
U0159,User1158,2025-09-19,one_time,True,Career
U0160,User1159,2025-12-26,loyal,True,General Vedic
U0161,User1160,2026-01-26,loyal,True,Career
U0162,User1161,2025-12-16,occasional,True,Health
U0163,User1162,2026-05-30,one_time,False,Relationship
U0164,User1163,2025-11-26,occasional,True,Finance
U0165,User1164,2025-09-30,occasional,False,Relationship
U0166,User1165,2025-12-06,occasional,False,Marriage
U0167,User1166,2025-08-01,one_time,False,Family
U0168,User1167,2026-05-16,one_time,True,Career
U0169,User1168,2025-07-17,loyal,True,Family
U0170,User1169,2025-08-10,loyal,True,Family
U0171,User1170,2025-12-17,occasional,True,General Vedic
U0172,User1171,2025-09-23,loyal,True,Career
U0173,User1172,2026-01-13,occasional,True,Family
U0174,User1173,2026-06-09,loyal,True,Finance
U0175,User1174,2026-02-06,occasional,False,Marriage
U0176,User1175,2026-01-28,one_time,False,Career
U0177,User1176,2026-03-04,one_time,False,Relationship
U0178,User1177,2025-10-27,one_time,False,Relationship
U0179,User1178,2025-07-20,one_time,False,Relationship
U0180,User1179,2026-04-14,one_time,False,Finance
U0181,User1180,2025-08-20,occasional,True,Family
U0182,User1181,2026-05-10,loyal,False,General Vedic
U0183,User1182,2025-11-28,loyal,True,Finance
U0184,User1183,2026-05-23,one_time,False,Finance
U0185,User1184,2026-05-20,one_time,False,Finance
U0186,User1185,2026-03-22,occasional,True,Relationship
U0187,User1186,2026-06-06,occasional,False,Career
U0188,User1187,2025-09-27,loyal,True,Health
U0189,User1188,2025-11-07,one_time,True,Family
U0190,User1189,2026-01-27,loyal,True,Relationship
U0191,User1190,2026-03-08,one_time,False,Family
U0192,User1191,2026-04-23,occasional,True,Marriage
U0193,User1192,2026-02-14,occasional,False,Marriage
U0194,User1193,2026-05-03,loyal,True,Career
U0195,User1194,2025-08-23,one_time,False,Relationship
U0196,User1195,2026-06-06,occasional,True,Marriage
U0197,User1196,2025-09-04,one_time,False,Marriage
U0198,User1197,2025-07-15,one_time,True,Career
U0199,User1198,2026-05-28,one_time,False,Health
U0200,User1199,2025-09-19,one_time,False,Finance
U0201,User1200,2025-12-11,one_time,True,Marriage
U0202,User1201,2025-07-14,one_time,False,Relationship
U0203,User1202,2025-11-08,loyal,True,Finance
U0204,User1203,2026-02-28,occasional,False,Relationship
U0205,User1204,2026-05-17,one_time,True,Marriage
U0206,User1205,2025-10-29,loyal,True,Relationship
U0207,User1206,2025-10-17,loyal,True,Finance
U0208,User1207,2026-02-12,occasional,False,Relationship
U0209,User1208,2026-01-31,occasional,True,Career
U0210,User1209,2026-02-20,one_time,False,Finance
U0211,User1210,2025-08-19,one_time,False,Health
U0212,User1211,2026-02-25,one_time,True,Relationship
U0213,User1212,2026-03-13,one_time,False,Career
U0214,User1213,2026-03-12,occasional,False,Finance
U0215,User1214,2026-03-04,one_time,False,Relationship
U0216,User1215,2025-11-16,occasional,True,Health
U0217,User1216,2026-02-13,occasional,False,Relationship
U0218,User1217,2026-01-17,occasional,True,Relationship
U0219,User1218,2026-01-31,one_time,False,General Vedic
U0220,User1219,2025-08-10,occasional,False,Marriage
U0221,User1220,2025-10-22,occasional,True,Relationship
U0222,User1221,2026-03-27,occasional,True,Health
U0223,User1222,2025-12-04,loyal,True,Health
U0224,User1223,2026-04-20,loyal,True,Career
